Destination,Airline,Flight Stops,Per Person Price,Journey_Month,Num_Places_Visited,Package Type_Deluxe,Package Type_Luxury,Package Type_Premium,Package Type_Standard,Start City_New Delhi,Journey_Day_Monday,Journey_Day_Saturday,Journey_Day_Sunday,Journey_Day_Thursday,Journey_Day_Tuesday,Journey_Day_Wednesday,Is_Peak_Season,Trip_Complexity
417,290,2,11509.0,5,4,False,False,False,True,False,False,False,False,False,False,False,1,12
533,125,0,22485.5,2,3,False,False,True,False,True,False,False,False,False,False,True,1,3
549,114,0,12421.5,0,2,False,True,False,False,True,True,False,False,False,False,False,0,2
329,114,0,35967.0,1,4,False,False,True,False,True,False,False,False,False,False,False,0,4
443,237,0,25584.0,2,2,False,False,True,False,True,False,False,True,False,False,False,1,2
79,114,1,8512.0,11,1,True,False,False,False,False,False,False,False,True,False,False,0,2
201,114,2,6848.0,4,1,False,False,False,True,True,False,False,True,False,False,False,1,3
261,290,1,14454.5,2,2,True,False,False,False,False,False,False,False,False,False,False,1,4
529,114,1,21556.5,10,4,True,False,False,False,True,False,False,True,False,False,False,0,8
548,114,0,13042.0,1,1,False,False,True,False,False,False,False,True,False,False,False,0,1
275,231,2,10648.5,6,2,False,False,False,False,True,False,False,False,False,False,True,1,6
86,145,0,25902.0,10,4,False,False,True,False,True,False,False,False,True,False,False,0,4
186,231,0,12009.5,11,1,False,False,True,False,True,False,False,False,False,False,True,0,1
559,290,2,6911.0,8,2,False,False,False,True,True,False,False,False,False,False,False,1,6
69,105,1,17323.0,3,4,True,False,False,False,False,False,False,False,False,False,False,0,8
374,114,2,13890.0,6,3,False,False,False,True,True,False,False,False,False,True,False,1,9
268,1,1,14558.5,2,1,True,False,False,False,True,False,True,False,False,False,False,1,2
531,247,1,12591.0,0,3,True,False,False,False,False,False,False,False,False,False,False,0,6
494,290,0,20739.0,9,3,False,True,False,False,False,False,True,False,False,False,False,0,3
424,231,2,14445.0,9,2,False,False,False,True,False,True,False,False,False,False,False,0,6
271,94,0,18956.5,6,3,False,False,True,False,False,False,False,False,False,False,False,1,3
201,231,0,9441.0,2,1,False,False,True,False,True,False,False,False,False,False,False,1,1
402,114,1,12733.5,1,3,True,False,False,False,False,False,False,False,False,True,False,0,6
159,87,0,43598.0,10,1,False,False,True,False,False,False,False,False,False,True,False,0,1
182,290,1,2580.0,8,1,True,False,False,False,True,False,False,True,False,False,False,1,2
176,231,0,30859.5,5,3,False,True,False,False,True,False,False,False,True,False,False,1,3
498,234,0,41496.0,2,5,False,False,True,False,False,False,False,False,False,False,False,1,5
176,290,0,13465.0,0,3,False,False,True,False,False,False,False,False,False,True,False,0,3
115,291,2,18719.0,3,3,False,False,False,True,False,False,False,False,True,False,False,0,9
108,114,0,13014.0,6,1,False,True,False,False,True,False,False,False,False,False,True,1,1
402,231,0,21751.5,0,3,False,True,False,False,True,False,False,False,True,False,False,0,3
332,114,2,12527.0,11,3,False,False,False,True,True,False,False,False,False,False,False,0,9
481,290,0,22910.0,7,1,False,True,False,False,False,False,False,False,False,False,False,0,1
143,125,2,15827.0,4,1,False,False,False,False,True,False,False,False,False,True,False,1,3
91,242,2,15795.5,3,5,False,False,False,True,True,False,True,False,False,False,False,0,15
417,290,0,24753.5,5,4,False,True,False,False,True,True,False,False,False,False,False,1,4
171,114,2,28394.5,8,3,False,False,False,True,True,False,True,False,False,False,False,1,9
527,114,2,12802.0,8,2,False,False,False,True,True,False,True,False,False,False,False,1,6
362,231,1,13521.0,7,3,True,False,False,False,True,False,False,False,False,True,False,0,6
246,253,0,24580.5,9,3,False,True,False,False,True,False,False,True,False,False,False,0,3
538,1,2,10039.0,10,2,False,False,False,True,True,False,False,False,False,False,False,0,6
144,114,0,27722.5,9,2,False,True,False,False,False,True,False,False,False,False,False,0,2
434,94,0,16653.5,7,2,False,False,True,False,False,False,False,False,False,True,False,0,2
385,231,1,14085.5,8,2,True,False,False,False,True,False,True,False,False,False,False,1,4
364,291,2,10929.5,8,2,False,False,False,True,False,False,True,False,False,False,False,1,6
70,291,2,16384.0,11,4,False,False,False,True,False,False,False,False,True,False,False,0,12
145,114,1,24800.5,1,3,True,False,False,False,False,False,False,False,False,True,False,0,6
144,114,0,22166.0,11,2,False,True,False,False,True,False,False,False,False,False,False,0,2
38,275,2,49045.0,4,2,False,False,False,True,True,False,False,False,False,False,True,1,6
176,125,0,39963.0,2,3,False,False,True,False,True,False,False,False,False,False,True,1,3
201,94,0,55444.5,8,1,False,True,False,False,False,False,False,False,False,False,True,1,1
171,114,1,26249.0,8,3,True,False,False,False,False,False,False,False,True,False,False,1,6
322,239,0,44067.0,11,3,False,False,True,False,False,False,False,False,False,False,True,0,3
174,231,0,50183.0,0,5,False,False,True,False,False,False,False,False,True,False,False,0,5
246,260,0,26163.0,2,3,False,False,True,False,True,False,False,False,True,False,False,1,3
328,114,0,15889.0,11,2,False,False,True,False,True,False,False,False,False,True,False,0,2
108,290,2,7311.5,2,1,False,False,False,True,True,False,False,False,False,False,False,1,3
182,290,2,5818.0,11,1,False,False,False,True,True,False,False,False,False,False,True,0,3
526,247,1,12699.0,8,1,True,False,False,False,False,False,False,False,False,False,False,1,2
395,129,2,22074.5,3,4,False,False,False,True,True,True,False,False,False,False,False,0,12
320,231,2,6362.5,3,1,False,False,False,True,False,True,False,False,False,False,False,0,3
49,290,2,13548.0,10,4,False,False,False,True,False,False,False,False,False,True,False,0,12
296,18,0,17116.0,10,3,False,True,False,False,True,False,True,False,False,False,False,0,3
182,231,0,15637.5,8,1,False,False,True,False,True,False,False,False,True,False,False,1,1
14,106,0,20032.5,5,2,False,False,True,False,True,True,False,False,False,False,False,1,2
119,94,1,27453.0,3,4,True,False,False,False,True,False,False,False,False,False,False,0,8
9,1,1,18888.5,1,5,True,False,False,False,True,False,False,False,False,False,True,0,10
66,114,0,26183.0,11,3,False,False,True,False,True,False,False,False,True,False,False,0,3
481,290,0,23723.5,8,1,False,False,True,False,True,True,False,False,False,False,False,1,1
